method	condition_id	label	stage	O2	feasible	agreement_score	spearman_expr_vs_flux	hi_expr_recall	flux_precision_hi_med	mcc_active_vs_expr	jaccard_active_vs_expr	n_flux_nonzero	n_gpr	spearman_expr_vs_flux_rn	hi_expr_recall_rn	flux_precision_hi_med_rn	mcc_active_vs_expr_rn	composite
eflux	20_pdb_half	PDB (1/2 dilution)	biotrophic	anaerobic	True	0.5626	0.0996	0.345	0.9768	0.1543	0.3492	483	1045	0.04195804195804196	0.11538461538461539	0.2097902097902098	0.13986013986013987	0.1267
eflux	21_pdb_onetenth	PDB (1/10 dilution)	biotrophic	aerobic	True	0.5878	0.1159	0.36	0.9786	0.1684	0.3782	500	1045	0.14685314685314685	0.44405594405594406	0.42657342657342656	0.45454545454545453	0.368
eflux	21_pdb_onetenth	PDB (1/10 dilution)	biotrophic	anaerobic	True	0.5233	0.0942	0.31	0.9774	0.1441	0.3143	423	1045	0.02097902097902098	0.04195804195804196	0.2727272727272727	0.055944055944055944	0.0979
gimme	01_trehalose	Trehalose	pre-infection	aerobic	True	0.5839	0.1544	0.3675	0.9861	0.1836	0.369	475	1045	0.7202797202797203	0.6188811188811189	0.8811188811188811	0.6503496503496503	0.7177
gimme	01_trehalose	Trehalose	pre-infection	anaerobic	True	0.5783	0.1297	0.36	0.986	0.1816	0.3649	475	1045	0.4125874125874126	0.44405594405594406	0.8496503496503497	0.6048951048951049	0.5778
gimme	02_glycerol	Glycerol	pre-infection	aerobic	True	0.5852	0.1415	0.3675	0.9835	0.1778	0.3707	484	1045	0.6153846153846154	0.6188811188811189	0.7762237762237763	0.5594405594405595	0.6425
gimme	02_glycerol	Glycerol	pre-infection	anaerobic	True	0.5116	0.149	0.3175	0.9862	0.1572	0.2976	377	1045	0.6853146853146853	0.04895104895104895	0.916083916083916	0.20279720279720279	0.4633
gimme	03_palmitate	Palmitate (C16:0)	pre-infection	aerobic	True	0.5884	0.1151	0.36	0.9865	0.189	0.3805	487	1045	0.13636363636363635	0.44405594405594406	0.958041958041958	0.7342657342657343	0.5682
gimme	04_oleate	Oleate (C18:1)	pre-infection	aerobic	True	0.5845	0.1179	0.355	0.9864	0.1875	0.3773	485	1045	0.1888111888111888	0.3111888111888112	0.9475524475524476	0.7272727272727273	0.5437
gimme	05_hexacosanoate	Hexacosanoate (C26)	pre-infection	aerobic	True	0.6086	0.1351	0.3875	0.987	0.1964	0.396	505	1045	0.5524475524475524	0.7272727272727273	0.965034965034965	0.7482517482517482	0.7483
gimme	06_glucose_low	Glucose (LOW, -1)	biotrophic	aerobic	True	0.5822	0.1509	0.365	0.9861	0.1831	0.368	469	1045	0.7132867132867133	0.583916083916084	0.8811188811188811	0.6363636363636364	0.7037
gimme	06_glucose_low	Glucose (LOW, -1)	biotrophic	anaerobic	True	0.5736	0.1426	0.355	0.9858	0.1797	0.3607	467	1045	0.6328671328671329	0.3111888111888112	0.8251748251748252	0.5804195804195804	0.5874
gimme	07_sucrose_low	Sucrose (LOW, -0.5)	biotrophic	aerobic	True	0.5875	0.1584	0.375	0.9861	0.1841	0.3701	476	1045	0.7412587412587412	0.6853146853146853	0.8811188811188811	0.6643356643356644	0.743
gimme	07_sucrose_low	Sucrose (LOW, -0.5)	biotrophic	anaerobic	True	0.574	0.1427	0.3525	0.9859	0.1806	0.3628	474	1045	0.6433566433566433	0.22727272727272727	0.8321678321678322	0.5944055944055944	0.5743
gimme	08_glutamate	L-Glutamate	biotrophic	aerobic	True	0.5885	0.1458	0.3725	0.9863	0.1855	0.3732	479	1045	0.6643356643356644	0.6713286713286714	0.9370629370629371	0.6993006993006993	0.743
gimme	08_glutamate	L-Glutamate	biotrophic	anaerobic	True	0.4741	0.1234	0.265	0.9851	0.147	0.2758	345	1045	0.2937062937062937	0.0034965034965034965	0.8181818181818182	0.1048951048951049	0.3051
gimme	09_glutamine	L-Glutamine	biotrophic	aerobic	True	0.5843	0.1347	0.365	0.9862	0.1846	0.3711	478	1045	0.5454545454545454	0.583916083916084	0.916083916083916	0.6748251748251748	0.6801
gimme	09_glutamine	L-Glutamine	biotrophic	anaerobic	True	0.4693	0.1206	0.265	0.9848	0.1446	0.2706	342	1045	0.24125874125874125	0.0034965034965034965	0.8006993006993007	0.06293706293706294	0.2771
gimme	10_gaba	GABA	biotrophic	aerobic	True	0.5842	0.1579	0.37	0.9861	0.1831	0.368	476	1045	0.7342657342657343	0.6468531468531469	0.8811188811188811	0.6363636363636364	0.7247
gimme	11_galacturonate	D-Galacturonate	necrotrophic	aerobic	True	0.5873	0.13	0.37	0.9783	0.1659	0.3731	487	1045	0.42657342657342656	0.6468531468531469	0.3916083916083916	0.34965034965034963	0.4537
gimme	11_galacturonate	D-Galacturonate	necrotrophic	anaerobic	True	0.5801	0.1189	0.36	0.978	0.1633	0.3679	487	1045	0.20279720279720279	0.44405594405594406	0.35664335664335667	0.3076923076923077	0.3278
gimme	12_xylose	Xylose	necrotrophic	aerobic	True	0.5815	0.1556	0.365	0.986	0.1826	0.3669	471	1045	0.7272727272727273	0.583916083916084	0.8496503496503497	0.6223776223776224	0.6958
gimme	12_xylose	Xylose	necrotrophic	anaerobic	True	0.5833	0.1326	0.3625	0.9862	0.1846	0.3711	486	1045	0.4965034965034965	0.5244755244755245	0.916083916083916	0.6748251748251748	0.653
gimme	13_arabinose	L-Arabinose	necrotrophic	aerobic	True	0.5735	0.1269	0.3475	0.986	0.1816	0.3649	469	1045	0.38461538461538464	0.13286713286713286	0.8496503496503497	0.6048951048951049	0.493
gimme	14_maltose	Maltose (starch)	necrotrophic	aerobic	True	0.5773	0.1431	0.3575	0.9804	0.1681	0.3641	471	1045	0.6503496503496503	0.3741258741258741	0.5804195804195804	0.4405594405594406	0.5114
gimme	14_maltose	Maltose (starch)	necrotrophic	anaerobic	True	0.5832	0.1264	0.3675	0.9806	0.1696	0.3672	481	1045	0.3706293706293706	0.6188811188811189	0.6188811188811189	0.4825174825174825	0.5227
gimme	15_mixed_aa	Mixed AAs + glc	necrotrophic	aerobic	True	0.5666	0.1234	0.3575	0.9825	0.1674	0.3489	483	1045	0.2937062937062937	0.3741258741258741	0.7062937062937062	0.36713286713286714	0.4353
gimme	15_mixed_aa	Mixed AAs + glc	necrotrophic	anaerobic	True	0.5842	0.1491	0.3825	0.9886	0.1865	0.3611	496	1045	0.6923076923076923	0.7167832167832168	1.0	0.7062937062937062	0.7788
gimme	16_pre_infection_mix	Pre-infection mix	cocktail	aerobic	True	0.5812	0.129	0.355	0.9862	0.185	0.3721	489	1045	0.3986013986013986	0.3111888111888112	0.916083916083916	0.6888111888111889	0.5787
gimme	16_pre_infection_mix	Pre-infection mix	cocktail	anaerobic	True	0.5531	0.1337	0.3375	0.985	0.1704	0.341	441	1045	0.5244755244755245	0.08041958041958042	0.8111888111888111	0.493006993006993	0.4773
gimme	17_biotrophic_mix	Biotrophic mix	cocktail	aerobic	True	0.5822	0.1475	0.365	0.9861	0.1831	0.368	476	1045	0.6713286713286714	0.583916083916084	0.8811188811188811	0.6363636363636364	0.6932
gimme	17_biotrophic_mix	Biotrophic mix	cocktail	anaerobic	True	0.5789	0.1486	0.36	0.986	0.1821	0.3659	484	1045	0.6783216783216783	0.44405594405594406	0.8496503496503497	0.6153846153846154	0.6469
gimme	18_necrotrophic_mix	Necrotrophic mix	cocktail	aerobic	True	0.5802	0.1217	0.365	0.9804	0.1681	0.3641	507	1045	0.25874125874125875	0.583916083916084	0.5804195804195804	0.4405594405594406	0.4659
