gene	ko_id	uniprot_chig_id	logFC_half_vs_PDA	adjP_half_vs_PDA	logFC_onetenth_vs_PDA	adjP_onetenth_vs_PDA	logFC_onetenth_vs_half	adjP_onetenth_vs_half	sig_half_vs_PDA	sig_onetenth_vs_PDA	sig_onetenth_vs_half
gene_2255	K00281	tr|A0A1B7Y8B6|A0A1B7Y8B6_COLHI	0.1001	0.8806	-1.0833	0.0155	-1.1834	0.0095	False	True	True
gene_10142	K01809	tr|H1V4Z2|H1V4Z2_COLHI	0.0566	0.8737	-1.2551	0.0003	-1.3117	0.0002	False	True	True
gene_8058	K02263	tr|H1V9L9|H1V9L9_COLHI	-0.387	0.419	0.6665	0.0561	1.0535	0.0065	False	False	True
gene_1463	K07203	tr|H1UX49|H1UX49_COLHI	0.0452	0.9423	0.4255	0.2576	0.3802	0.3063	False	False	False
gene_2026	K03065	tr|H1UVW1|H1UVW1_COLHI	-0.1408	0.6408	-0.1678	0.4309	-0.027	0.9086	False	False	False
gene_6014	K01074	tr|H1UYB7|H1UYB7_COLHI	0.2858	0.4846	-0.8954	0.0073	-1.1811	0.0014	False	False	True
gene_5993	K10357	tr|A0A1B7YJD7|A0A1B7YJD7_COLHI	0.7951	0.0559	0.5673	0.0525	-0.2278	0.4253	False	False	False
gene_619	K01823	tr|H1VBU0|H1VBU0_COLHI	-0.1623	0.6855	-0.1648	0.56	-0.0026	0.9947	False	False	False
gene_12215	K01855	tr|A0A1B7Y1Z6|A0A1B7Y1Z6_COLHI	-0.5813	0.5865	-2.3251	0.0094	-1.7438	0.0348	False	True	True
gene_3137	K01915	tr|A0A1B7Y5J0|A0A1B7Y5J0_COLHI	0.8444	0.1176	-0.2477	0.5446	-1.0921	0.0122	False	False	True
gene_3348	K01078	tr|H1W0U1|H1W0U1_COLHI	-0.0778	0.9423	-1.5092	0.0273	-1.4314	0.0344	False	True	True
gene_2219	K14792	tr|A0A1B7YMU8|A0A1B7YMU8_COLHI	0.502	0.2539	-0.3734	0.2532	-0.8754	0.0137	False	False	False
gene_11358	K00031	tr|H1VCB5|H1VCB5_COLHI	-0.3389	0.6654	0.8091	0.1335	1.148	0.0397	False	False	True
gene_7657	K00658	tr|H1VH48|H1VH48_COLHI	0.0966	0.8223	-0.4735	0.0893	-0.5701	0.0451	False	False	False
gene_117		tr|A0A1B7XSF2|A0A1B7XSF2_COLHI	-3.757	0.0403	-1.8219	0.1369	1.9351	0.1134	True	False	False
gene_8289	K12882	tr|H1VKL0|H1VKL0_COLHI	0.2437	0.5497	0.3504	0.2163	0.1067	0.7212	False	False	False
gene_9169	K01915	tr|A0A1B7Y5R0|A0A1B7Y5R0_COLHI	0.5238	0.1041	0.3986	0.0919	-0.1252	0.6036	False	False	False
gene_9892	K16066	tr|A0A1B7YAC1|A0A1B7YAC1_COLHI	-0.345	0.3497	-0.1409	0.6112	0.2041	0.4458	False	False	False
gene_6907	K02146	tr|H1V6V5|H1V6V5_COLHI	-0.0211	0.9539	0.0283	0.914	0.0494	0.8411	False	False	False
gene_10931	K13800	tr|A0A1B7YUD7|A0A1B7YUD7_COLHI	0.1204	0.7398	0.4718	0.0568	0.3514	0.1443	False	False	False
gene_1855	K21797	tr|A0A1B7YD06|A0A1B7YD06_COLHI	0.0846	0.9015	0.736	0.0777	0.6515	0.1139	False	False	False
gene_7620	K00850	tr|A0A1B7YA39|A0A1B7YA39_COLHI	0.0572	0.8952	-0.1595	0.5557	-0.2166	0.413	False	False	False
gene_12451	K01958	tr|A0A1B7XY13|A0A1B7XY13_COLHI	-0.1038	0.8798	-1.4903	0.0039	-1.3865	0.0047	False	True	True
gene_205	K01880	tr|H1V832|H1V832_COLHI	0.1326	0.7216	-0.6462	0.017	-0.7788	0.0062	False	False	False
gene_73	K01536	tr|H1VDT4|H1VDT4_COLHI							False	False	False
gene_1548	K00928	tr|A0A1B7YJ67|A0A1B7YJ67_COLHI	-0.4152	0.6694	-0.5241	0.5068	-0.1089	0.8996	False	False	False
gene_11062		tr|A0A1B7YWW1|A0A1B7YWW1_COLHI	-1.1638	0.2425	-1.8374	0.0206	-0.6736	0.362	False	True	False
gene_1132	K03028	tr|A0A1B7YKV7|A0A1B7YKV7_COLHI	-0.0755	0.8316	-0.1625	0.4903	-0.087	0.7196	False	False	False
gene_4076	K06215	tr|A0A1B7YXG5|A0A1B7YXG5_COLHI	0.245	0.5854	-0.8633	0.0121	-1.1083	0.0029	False	False	True
gene_3187	K02141	tr|H1V6C7|H1V6C7_COLHI	-0.4351	0.7934	-1.0872	0.3217	-0.6522	0.5585	False	False	False
gene_4798		tr|H1V5P1|H1V5P1_COLHI	0.1238	0.7138	-0.3711	0.1059	-0.4948	0.037	False	False	False
gene_4701	K01196	tr|A0A1B7XXR6|A0A1B7XXR6_COLHI	0.498	0.171	-0.417	0.1237	-0.9151	0.0039	False	False	False
gene_1605	K14152	tr|H1VKV1|H1VKV1_COLHI	0.2464	0.6044	-0.7186	0.036	-0.965	0.0086	False	False	False
gene_12885	K00102	tr|A0A1B7YHK9|A0A1B7YHK9_COLHI	-0.8636	0.4708	-0.6063	0.4884	0.2572	0.7792	False	False	False
gene_8783	K05351	tr|A0A1B7YC54|A0A1B7YC54_COLHI	-0.5574	0.3429	-0.7034	0.0986	-0.1459	0.7453	False	False	False
gene_7642	K00854	tr|A0A1B7YNU0|A0A1B7YNU0_COLHI	-0.0174	0.9715	-1.0545	0.0029	-1.0371	0.0024	False	True	True
gene_8511	K01836	tr|H1UZ01|H1UZ01_COLHI	-0.2159	0.509	-0.2626	0.254	-0.0467	0.8547	False	False	False
gene_4339	K10610	tr|H1VBE0|H1VBE0_COLHI	0.071	0.8573	-0.0239	0.9284	-0.0949	0.7158	False	False	False
gene_699	K00863	tr|A0A1B7YIH7|A0A1B7YIH7_COLHI	-0.1294	0.7586	-0.8555	0.0073	-0.7261	0.0157	False	False	False
gene_2734	K01887	tr|A0A1B7YRS4|A0A1B7YRS4_COLHI	0.2192	0.5238	-0.0337	0.9035	-0.253	0.2883	False	False	False
gene_10621	K01597	tr|A0A1B7XU53|A0A1B7XU53_COLHI	0.3284	0.5503	-0.4778	0.2115	-0.8062	0.0413	False	False	False
gene_12060	K00958	tr|H1V9N0|H1V9N0_COLHI	-0.2844	0.5242	-0.8847	0.011	-0.6002	0.06	False	False	False
gene_8456	K00927	tr|H1VH23|H1VH23_COLHI	0.2727	0.3014	-1.0731	0.0003	-1.3458	0.0001	False	True	True
