kegg_pathway_name	method	condition_id	O2	stage	n_rxn	n_active	total_flux	active_rate
Alanine, aspartate and glutamate metabolism	pfba	07_sucrose_low	aerobic	biotrophic	1	1	0.0005	1.0
Alanine, aspartate and glutamate metabolism	pfba	07_sucrose_low	anaerobic	biotrophic	1	0	0.0	0.0
Alanine, aspartate and glutamate metabolism	pfba	08_glutamate	aerobic	biotrophic	1	1	1.0362	1.0
Alanine, aspartate and glutamate metabolism	pfba	08_glutamate	anaerobic	biotrophic	1	0	0.0	0.0
Alanine, aspartate and glutamate metabolism	pfba	09_glutamine	aerobic	biotrophic	1	1	1.0412	1.0
Alanine, aspartate and glutamate metabolism	pfba	09_glutamine	anaerobic	biotrophic	1	0	0.0	0.0
Alanine, aspartate and glutamate metabolism	pfba	10_gaba	aerobic	biotrophic	1	0	0.0	0.0
Alanine, aspartate and glutamate metabolism	pfba	11_galacturonate	aerobic	necrotrophic	1	1	0.0021	1.0
Alanine, aspartate and glutamate metabolism	pfba	11_galacturonate	anaerobic	necrotrophic	1	0	0.0	0.0
Alanine, aspartate and glutamate metabolism	pfba	12_xylose	aerobic	necrotrophic	1	1	0.0021	1.0
Alanine, aspartate and glutamate metabolism	pfba	12_xylose	anaerobic	necrotrophic	1	0	0.0	0.0
Alanine, aspartate and glutamate metabolism	pfba	13_arabinose	aerobic	necrotrophic	1	1	0.002	1.0
Alanine, aspartate and glutamate metabolism	pfba	14_maltose	aerobic	necrotrophic	1	1	0.0052	1.0
Alanine, aspartate and glutamate metabolism	pfba	14_maltose	anaerobic	necrotrophic	1	0	0.0	0.0
Alanine, aspartate and glutamate metabolism	pfba	15_mixed_aa	aerobic	necrotrophic	1	1	0.6226	1.0
Alanine, aspartate and glutamate metabolism	pfba	15_mixed_aa	anaerobic	necrotrophic	1	1	0.283	1.0
Alanine, aspartate and glutamate metabolism	pfba	16_pre_infection_mix	aerobic	cocktail	1	1	0.001	1.0
Alanine, aspartate and glutamate metabolism	pfba	16_pre_infection_mix	anaerobic	cocktail	1	0	0.0	0.0
Alanine, aspartate and glutamate metabolism	pfba	17_biotrophic_mix	aerobic	cocktail	1	1	0.4065	1.0
Alanine, aspartate and glutamate metabolism	pfba	17_biotrophic_mix	anaerobic	cocktail	1	1	0.6759	1.0
Alanine, aspartate and glutamate metabolism	pfba	18_necrotrophic_mix	aerobic	cocktail	1	1	0.8546	1.0
Alanine, aspartate and glutamate metabolism	pfba	18_necrotrophic_mix	anaerobic	cocktail	1	1	0.3626	1.0
