ec	kcat	tier	n	n_fungal	n_any
1.8.4.14	14.0	brenda_any	11	0	11
1.8.4.2	161.0	brenda_any	11	0	11
1.8.4.8	1.0368	brenda_any	9	0	9
1.8.4.9	11.3	brenda_any	11	0	11
1.8.5.1	9275.0	brenda_any	67	0	67
1.8.5.2	167.0	brenda_any	1	0	1
1.8.5.3	609.7	brenda_any	80	0	80
1.8.5.4	364.0	brenda_any	50	0	50
1.8.5.6	515.59	brenda_any	2	0	2
1.8.5.7	14.0	brenda_fungal	29	5	29
1.8.5.8	382.0	brenda_any	11	0	11
1.8.5.9	0.0	brenda_any	1	0	1
1.8.7.1	8.48	brenda_any	13	0	13
1.8.98.1	74.0	brenda_any	1	0	1
1.8.98.2	0.03	brenda_fungal	5	2	5
1.9.6.1	45.4	brenda_any	5	0	5
1.97.1.1	27.8392	brenda_any	5	0	5
1.97.1.14	5.0	brenda_any	1	0	1
1.97.1.9	348.8	brenda_any	2	0	2
2.1.1.1	0.0894	brenda_any	23	0	23
2.1.1.10	0.3458	brenda_any	2	0	2
2.1.1.100	1.186	brenda_any	3	0	3
2.1.1.103	4.03	brenda_any	33	0	33
2.1.1.104	0.9695	brenda_any	38	0	38
2.1.1.107	38.0	brenda_any	1	0	1
2.1.1.11	0.1	brenda_any	5	0	5
2.1.1.110	2.2	brenda_fungal	3	3	3
2.1.1.117	0.132	brenda_any	10	0	10
2.1.1.127	0.0002	brenda_any	2	0	2
2.1.1.128	0.15	brenda_any	1	0	1
2.1.1.13	6.6713	brenda_any	3	0	3
2.1.1.14	0.6	brenda_fungal	11	10	11
2.1.1.140	0.6	brenda_any	11	0	11
2.1.1.141	47.5	brenda_any	6	0	6
2.1.1.142	0.0023	brenda_fungal	14	1	14
2.1.1.143	0.0193	brenda_any	4	0	4
2.1.1.146	0.259	brenda_any	16	0	16
2.1.1.148	0.079	brenda_any	7	0	7
2.1.1.15	1309.8	brenda_any	13	0	13
2.1.1.157	2.296	brenda_any	4	0	4
2.1.1.164	0.0479	brenda_any	12	0	12
2.1.1.166	0.001	brenda_any	1	0	1
2.1.1.176	0.012	brenda_any	1	0	1
2.1.1.177	0.037	brenda_any	3	0	3
2.1.1.184	0.202	brenda_any	48	0	48
2.1.1.190	0.144	brenda_any	4	0	4
2.1.1.193	0.0012	brenda_any	2	0	2
2.1.1.197	219.8	brenda_any	2	0	2
2.1.1.2	3.1	brenda_any	6	0	6
2.1.1.20	1.6	brenda_any	27	0	27
2.1.1.200	0.0318	brenda_any	6	0	6
2.1.1.207	0.0073	brenda_any	1	0	1
2.1.1.21	0.3126	brenda_any	2	0	2
2.1.1.218	0.0086	brenda_any	2	0	2
2.1.1.22	0.0672	brenda_any	7	0	7
2.1.1.221	0.009	brenda_fungal	9	4	9
2.1.1.225	0.004	brenda_fungal	1	1	1
2.1.1.228	0.257	brenda_any	40	0	40
2.1.1.231	0.027	brenda_any	2	0	2
2.1.1.232	25.8	brenda_any	3	0	3
2.1.1.234	1.3867	brenda_any	2	0	2
2.1.1.235	0.772	brenda_any	9	0	9
2.1.1.236	0.61	brenda_any	1	0	1
2.1.1.237	0.225	brenda_any	1	0	1
2.1.1.238	0.083	brenda_any	1	0	1
2.1.1.240	0.0812	brenda_any	3	0	3
2.1.1.244	0.0097	brenda_any	19	0	19
2.1.1.245	14.7	brenda_any	2	0	2
2.1.1.255	0.0264	brenda_any	5	0	5
2.1.1.258	31.44	brenda_any	14	0	14
2.1.1.259	0.0182	brenda_any	2	0	2
2.1.1.261	2.0	brenda_fungal	2	2	2
2.1.1.267	0.1586	brenda_any	12	0	12
2.1.1.269	8.1	brenda_any	4	0	4
2.1.1.273	0.256	brenda_any	5	0	5
2.1.1.274	3.92	brenda_any	10	0	10
2.1.1.275	0.0244	brenda_any	2	0	2
2.1.1.276	0.0018	brenda_any	2	0	2
2.1.1.277	0.442	brenda_any	2	0	2
2.1.1.278	0.0274	brenda_any	3	0	3
2.1.1.279	0.015	brenda_any	1	0	1
2.1.1.28	0.0482	brenda_any	22	0	22
2.1.1.280	0.74	brenda_any	9	0	9
2.1.1.281	7.415	brenda_any	2	0	2
2.1.1.284	0.5	brenda_any	1	0	1
2.1.1.285	0.4	brenda_any	1	0	1
2.1.1.291	0.091	brenda_any	4	0	4
2.1.1.292	0.0005	brenda_any	3	0	3
2.1.1.293	27.0	brenda_fungal	4	4	4
2.1.1.300	0.0008	brenda_any	1	0	1
2.1.1.302	0.0072	brenda_any	2	0	2
2.1.1.303	0.02	brenda_any	9	0	9
2.1.1.315	87.0	brenda_any	1	0	1
2.1.1.316	0.0018	brenda_any	2	0	2
2.1.1.318	7.0	brenda_fungal	2	2	2
2.1.1.319	0.0228	brenda_any	12	0	12
