rxn_id	name	compartment	direction	lower_bound	upper_bound	equation_cpd	equation_name	ec_number	gpr	subsystem	n_metabolites	flux
NH4tm_c0	TRANS-RXN-173.ce_m0	c0;m0	<=>	-999999.0	999999.0	cpd00013_c0 <=> cpd00013_m0	NH3_c0 <=> NH3_m0				2	-0.2313776683853568
rxn00908_m0	glycine synthase_m0	m0	=>	0.0	1000.0	cpd00003_m0 + cpd00033_m0 + cpd00087_m0 --> cpd00004_m0 + cpd00011_m0 + cpd00013_m0 + cpd00125_m0	NAD_m0 + Glycine_m0 + Tetrahydrofolate_m0 --> NADH_m0 + CO2_m0 + NH3_m0 + 5-10-Methylenetetrahydrofolate_m0		gene_885 or gene_8838 or gene_3442 or gene_2255		7	0.2313776683853568
rxn19870_m0	threonine aldolase_m0	m0	<=>	-999999.0	999999.0	cpd00054_m0 + cpd00087_m0 <=> cpd00001_m0 + cpd00033_m0 + cpd00125_m0	L-Serine_m0 + Tetrahydrofolate_m0 <=> H2O_m0 + Glycine_m0 + 5-10-Methylenetetrahydrofolate_m0		gene_5492		5	-0.23137766838535676
rxn05307_c0	TRANS-RXNBWI-115637.ce.maizeexp.SER_SER_m0	c0;m0	<=>	-999999.0	999999.0	cpd00054_c0 + cpd00067_c0 <=> cpd00054_m0 + cpd00067_m0	L-Serine_c0 + H+_c0 <=> L-Serine_m0 + H+_m0				4	-0.23137766838535673
bio1	R_BIOMASS_SC5_notrace (Biomass SC5 notrace)	c0;m0	=>	0.0	1000.0	59.276 cpd00001_c0 + 59.276 cpd00002_c0 + 0.0002 cpd00003_c0 + 0.0002 cpd00006_c0 + 0.0002 cpd00010_c0 + 0.0002 cpd00015_c0 + 0.008 cpd00016_c0 + 0.008 cpd00017_c0 + 0.046 cpd00018_c0 + 0.3018 cpd00023_c0 + 0.2904 cpd00033_c0 + 0.4588 cpd00035_c0 + 0.2862 cpd00039_c0 + 0.2975 cpd00041_c0 + 0.0447 cpd00046_c0 + 0.02 cpd00048_c0 + 0.1607 cpd00051_c0 + 0.1054 cpd00053_c0 + 0.1854 cpd00054_c0 + 0.0002 cpd00056_c0 + 0.0507 cpd00060_c0 + 0.0284 cpd00065_c0 + 0.1339 cpd00066_c0 + 0.102 cpd00069_c0 + 0.0066 cpd00084_c0 + 0.008 cpd00087_c0 + 0.0599 cpd00091_c0 + 0.008 cpd00104_c0 + 0.2964 cpd00107_c0 + 0.0663 cpd00119_c0 + 0.046 cpd00126_c0 + 0.1647 cpd00129_c0 + 0.1017 cpd00132_c0 + 0.5185 cpd00155_c0 + 0.2646 cpd00156_c0 + 0.1914 cpd00161_c0 + 0.0024 cpd00206_c0 + 0.0001 cpd00220_c0 + 0.0036 cpd00294_c0 + 0.0024 cpd00296_c0 + 0.0036 cpd00298_c0 + 0.1927 cpd00322_c0 + 0.008 cpd00345_c0 + 0.0002 cpd00557_c0 + 0.0001 cpd00644_c0 + 0.0234 cpd00794_c0 + 0.0001 cpd01170_c0 + 0.0015 cpd03221_c0 + 0.0002 cpd11312_m0 + 0.0001 cpd11624_c0 + 0.0001 cpd11677_c0 + 0.8079 cpd11685_c0 + 1.1348 cpd11791_c0 + 0.0001 cpd11822_c0 + 0.0001 cpd14514_c0 + 0.00334 cpd15248_c0 + 0.000259 cpd15253_c0 + 0.000265 cpd15254_c0 + 0.000262 cpd15255_c0 + 0.000268 cpd15256_c0 + 0.000266 cpd15257_c0 + 0.004616 cpd15258_c0 + 0.002476 cpd15264_c0 + 0.0001 cpd15276_c0 + 0.0002 cpd15290_m0 + 0.0001 cpd29687_c0 + 0.0001 cpd29688_c0 --> 59.276 cpd00008_c0 + 59.305 cpd00009_c0 + 58.70001 cpd00067_c0	59.276 H2O_c0 + 59.276 ATP_c0 + 0.0002 NAD_c0 + 0.0002 NADP_c0 + 0.0002 CoA_c0 + 0.0002 FAD_c0 + 0.008 Pyridoxal phosphate_c0 + 0.008 S-Adenosyl-L-methionine_c0 + 0.046 AMP_c0 + 0.3018 L-Glutamate_c0 + 0.2904 Glycine_c0 + 0.4588 L-Alanine_c0 + 0.2862 L-Lysine_c0 + 0.2975 L-Aspartate_c0 + 0.0447 CMP_c0 + 0.02 Sulfate_c0 + 0.1607 L-Arginine_c0 + 0.1054 L-Glutamine_c0 + 0.1854 L-Serine_c0 + 0.0002 TPP_c0 + 0.0507 L-Methionine_c0 + 0.0284 L-Tryptophan_c0 + 0.1339 L-Phenylalanine_c0 + 0.102 L-Tyrosine_c0 + 0.0066 L-Cysteine_c0 + 0.008 Tetrahydrofolate_c0 + 0.0599 UMP_c0 + 0.008 BIOT_c0 + 0.2964 L-Leucine_c0 + 0.0663 L-Histidine_c0 + 0.046 GMP_c0 + 0.1647 L-Proline_c0 + 0.1017 L-Asparagine_c0 + 0.5185 Glycogen_c0 + 0.2646 L-Valine_c0 + 0.1914 L-Threonine_c0 + 0.0024 dCMP_c0 + 0.0001 Riboflavin_c0 + 0.0036 dAMP_c0 + 0.0024 dGMP_c0 + 0.0036 dTMP_c0 + 0.1927 L-Isoleucine_c0 + 0.008 5-Methyltetrahydrofolate_c0 + 0.0002 Siroheme_c0 + 0.0001 PAN_c0 + 0.0234 TRHL_c0 + 0.0001 Ergosterol_c0 + 0.0015 Zymosterol_c0 + 0.0002 hemeA_m0 + 0.0001 Lecithin_c0 + 0.0001 Triglyceride_c0 + 0.8079 Mannan_c0 + 1.1348 1,3-beta-Glucan_c0 + 0.0001 1-Phosphatidyl-myo-inositol_c0 + 0.0001 Episterol_c0 + 0.00334 Inositol phosphorylceramide, ceramide-3 (26C), yeast-specific_c0 + 0.000259 mannose-(inositol-P)2-ceramide, ceramide-1 (24C), yeast-specific_c0 + 0.000265 mannose-(inositol-P)2-ceramide, ceramide-1 (26C), yeast-specific_c0 + 0.000262 mannose-(inositol-P)2-ceramide, ceramide-2 (24C), yeast-specific_c0 + 0.000268 mannose-(inositol-P)2-ceramide, ceramide-2 (26C), yeast-specific_c0 + 0.000266 mannose-(inositol-P)2-ceramide, ceramide-3 (24C), yeast-specific_c0 + 0.004616 mannose-(inositol-P)2-ceramide, ceramide-3 (26C), yeast-specific_c0 + 0.002476 mannose-inositol phosphorylceramide, ceramide-3 (26C)_c0 + 0.0001 Phosphatidate, yeast-specific_c0 + 0.0002 Ubiquinone-6_m0 + 0.0001 ps_BS_c0 + 0.0001 psetha_BS_c0 --> 59.276 ADP_c0 + 59.305 Phosphate_c0 + 58.70001 H+_c0				70	0.22889039278377032
H2Otm_c0	TRANS-RXNBWI-115401.ce.maizeexp.OH_OH_m0	c0;m0	<=>	-999999.0	999999.0	cpd00001_c0 <=> cpd00001_m0	H2O_c0 <=> H2O_m0				2	0.2222907197917253
rxn02914_c0	3-Phosphoserine:2-oxoglutarate aminotransferase_c0	c0	=>	0.0	999999.0	cpd00023_c0 + cpd02069_c0 --> cpd00024_c0 + cpd00738_c0	L-Glutamate_c0 + 3-Phosphonooxypyruvate_c0 --> 2-Oxoglutarate_c0 + phosphoserine_c0		gene_8144		4	0.20632942973505097
rxn01101_c0	3-Phospho-D-glycerate:NAD+ 2-oxidoreductase_c0	c0	=>	0.0	1000.0	cpd00003_c0 + cpd00169_c0 --> cpd00004_c0 + cpd00067_c0 + cpd02069_c0	NAD_c0 + 3-Phosphoglycerate_c0 --> NADH_c0 + H+_c0 + 3-Phosphonooxypyruvate_c0		gene_11370 or gene_9121		5	0.20632942973505095
rxn00420_c0	O-phospho-L-serine phosphohydrolase_c0	c0	=>	0.0	999999.0	cpd00001_c0 + cpd00738_c0 --> cpd00009_c0 + cpd00054_c0	H2O_c0 + phosphoserine_c0 --> Phosphate_c0 + L-Serine_c0		gene_9884		4	0.18946020778688732
rxn09647_c0	dolichol phosphate endoplasmic reticular transport via proton symport_g0	c0;r0	<=>	-999999.0	999999.0	cpd00067_c0 + cpd11619_c0 <=> cpd00067_r0 + cpd11619_r0	H+_c0 + Dolichyl phosphate_c0 <=> H+_r0 + Dolichyl phosphate_r0				4	-0.18492054833000804
