rxn_id	name	old_gpr	new_gpr	kept_gene_count	mapped_from_ch63r	unmapped_ch63r_removed	foreign_tokens_removed	curated_ch63r_from_excel	foreign_tokens_in_gpr	weak_matches_used
rxn13281_c0	fatty acid synthase (n-C14:1)_c0	YJL196C	gene_12844 or gene_6755	0	2	0	1	CH63R_04116;CH63R_06044	YJL196C	
rxn10665_c0	fatty acid synthase (n-C16:1)_c0	YJL196C	gene_12844 or gene_6755	0	2	0	1	CH63R_04116;CH63R_06044	YJL196C	
rxn09587_c0	mannose-inositiol phophorylceramide synthase (ceramide-1, 24C), yeast-specific_c0	YBR036C or YPL057C or YBR161W		0	0	1	3	CH63R_05415	YBR036C;YPL057C;YBR161W	
rxn09586_c0	mannose-inositol phosphorylceramide synthase (ceramide-1, 26C), yeast-specific_c0	YBR036C or YPL057C or YBR161W		0	0	1	3	CH63R_05415	YBR036C;YPL057C;YBR161W	
rxn09585_c0	mannose-inositol phosphorylceramide synthase (ceramide-2, 24C), yeast-specific_c0	YBR036C or YPL057C or YBR161W		0	0	1	3	CH63R_05415	YBR036C;YPL057C;YBR161W	
rxn09584_c0	mannose-inositol phosphorylceramide synthase (ceramide-2, 26C), yeast-specific_c0	YBR036C or YPL057C or YBR161W		0	0	1	3	CH63R_05415	YBR036C;YPL057C;YBR161W	
rxn09583_c0	mannose-inositol phosphorylceramide synthase (ceramide-3, 24C), yeast-specific_c0	YBR036C or YPL057C or YBR161W		0	0	1	3	CH63R_05415	YBR036C;YPL057C;YBR161W	
rxn09582_c0	mannose-inositol phosphorylceramide synthase (ceramide-3, 26C), yeast-specific_c0	YBR036C or YPL057C or YBR161W		0	0	1	3	CH63R_05415	YBR036C;YPL057C;YBR161W	
rxn00744_c0	ATP:glycerone phosphotransferase_c0	YML070W or YFL053W	gene_699 or gene_2665	0	3	0	2	CH63R_04175;CH63R_06617;CH63R_12165	YML070W;YFL053W	CH63R_06617
rxn39089_m0	phosphatidylserine synthase, yeast-specific, mitochondrial_m0	YER026C	gene_11289	0	1	0	1	CH63R_01151	YER026C	
rxn13287_c0	Acyl-CoA:fecosterol acyltransferase, yeast-specific_c0	YCR048W	gene_7067 or gene_7466	0	2	0	1	CH63R_09453;CH63R_13093	YCR048W	
rxn13335_c0	Acyl-CoA:lanosterol acyltransferase, yeast-specific_c0	YCR048W	gene_7067 or gene_7466	0	2	0	1	CH63R_09453;CH63R_13093	YCR048W	
rxn13254_c0	Acyl-CoA:episterol acyltransferase, yeast-specific_c0	YCR048W	gene_7067 or gene_7466	0	2	0	1	CH63R_09453;CH63R_13093	YCR048W	
rxn09510_c0	Dolichyl-phosphate D-mannosyltransferase_g0	YPR183W		0	0	1	1	CH63R_11412	YPR183W	
