rxn_id	seed_base	pathway_bucket	kegg_reaction	kegg_pathway_id	kegg_pathway_name	ec_number
rxn03390_m0	rxn03390	Other / unassigned	R04982	rn00130;rn01110	Ubiquinone and other terpenoid-quinone biosynthesis;Biosynthesis of secondary metabolites	1.14.13.-
rxn01366_c0	rxn01366	Other / unassigned	R01876	rn00240	Pyrimidine metabolism	2.4.2.2|2.4.2.3
2MPPALtm_c0		Transport (inter-compartmental)				
rxn01265_m0	rxn01265	Other / unassigned	R01724	rn00760	Nicotinate and nicotinamide metabolism	2.4.2.11
rxn09539_c0	rxn09539	Lipid / membrane				
rxn13387_c0	rxn13387	Other / unassigned				
rxn00758_c0	rxn00758	Glycolysis / gluconeogenesis	R01030	rn00564	Glycerophospholipid metabolism	3.1.4.2|3.1.4.46
rxn32133_m0	rxn32133	Cofactor / vitamin biosynthesis	R00115	rn00480	Glutathione metabolism	1.6.4.2|1.8.1.7
rxn00610_c0	rxn00610	Glycolysis / gluconeogenesis	R00841	rn00561	Glycerolipid metabolism	3.1.3.21
rxn00727_c0	rxn00727	Amino-acid metabolism	R00986	rn00400;rn01110;rn01230	Phenylalanine, tyrosine and tryptophan biosynthesis;Biosynthesis of secondary metabolites;Biosynthesis of amino acids	4.1.3.27
rxn01465_c0	rxn01465	Other / unassigned	R01993	rn00240	Pyrimidine metabolism	3.5.2.3
THRt2r_c0		Amino-acid metabolism				
rxn05483_c0	rxn05483	Other / unassigned				
rxn00208_c0	rxn00208	Other / unassigned	R00277	rn00750	Vitamin B6 metabolism	1.4.3.5
rxn05307_c0	rxn05307	Oxidative phosphorylation / ETC				2.A.42.-.-
rxn09566_c0	rxn09566	Cofactor / vitamin biosynthesis				
rxn01643_c0	rxn01643	Cofactor / vitamin biosynthesis	R02291	rn00260;rn00270;rn00300;rn01110;rn01210;rn01230	Glycine, serine and threonine metabolism;Cysteine and methionine metabolism;Lysine biosynthesis;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	1.2.1.11
rxn13331_c0	rxn13331	Other / unassigned				
rxn09807_c0	rxn09807	Transport (inter-compartmental)				
rxn01225_c0	rxn01225	Other / unassigned	R01676	rn00230	Purine metabolism	3.5.4.3
rxn00948_c0	rxn00948	Amino-acid metabolism	R01281	rn00600	Sphingolipid metabolism	2.3.1.50
rxn09486_c0	rxn09486	Nucleotide metabolism				
rxn01858_c0	rxn01858	Other / unassigned	R02556	rn00230	Purine metabolism	3.5.4.4
rxn09728_c0	rxn09728	Transport (inter-compartmental)				
rxn13247_c0	rxn13247	Glycolysis / gluconeogenesis				
NH4tp_c0		Other / unassigned				
rxn09581_c0	rxn09581	Lipid / membrane				
rxn13224_c0	rxn13224	Cofactor / vitamin biosynthesis				
